from_ba_id,from_gf_id,to_ba_id,to_gf_id
4c173e5b-b34a-4b9d-8fea-9f598673fa33,,995f68d0-2dec-4e22-916a-cf1f44c1663b,
4dcad109-18e3-4c91-a560-eb0bf34faccc,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
4f390938-8179-4ca2-9024-9d22983bca09,,6b9fdd82-685f-4f21-8fa3-883e06be2c30,
4fab6349-d704-4883-bb83-6288e3c7b03f,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
50062bd7-949d-45b6-9083-6d2d94c8f31e,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
50a5d5d0-1afe-4e48-ab35-3adec6a30f0d,,6b9fdd82-685f-4f21-8fa3-883e06be2c30,
5115c485-0237-450a-a6f8-fdcddd54eeed,,da1dfe78-f982-4b09-81ae-b38d328bd85e,
5279d3f0-20df-4ac4-ac4a-ca6d21115d7d,,2b55697f-f26e-433e-9070-f1fe9748bf7b,888609b5-b58a-4d57-addc-a6935bba284b
52c54acc-cde4-444c-8ba3-1b2c8c6ab17f,,da1dfe78-f982-4b09-81ae-b38d328bd85e,
53bd7b12-ef70-4c59-ae58-effdd03117ef,,2b55697f-f26e-433e-9070-f1fe9748bf7b,cf2deca6-53b8-4096-916f-32c2c71d14bf
53c61b6c-68c0-46fe-bfae-e77e6f12d7af,,223860e9-b7b5-412c-bcab-0f16d43928fb,
53cf4a1c-1b45-48b6-a6c0-7a4752ad24b9,,79a84274-88f2-4135-90dd-8c1a501f87d5,
577244a2-aa83-4721-ab0b-533a82f7a0c9,,748cb267-f47c-4920-b5b0-39109ade448f,
58ab3128-0e13-4d2e-884b-3d5dab1e18e1,,223860e9-b7b5-412c-bcab-0f16d43928fb,
58c5b3fa-7afc-4f20-8f9e-18e6aa14aeb5,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
5b81b4ba-66b6-4e87-8e2f-b9aa680207a1,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
5eb2052b-9787-4148-a230-4d04580f399c,,2b55697f-f26e-433e-9070-f1fe9748bf7b,888609b5-b58a-4d57-addc-a6935bba284b
5f02c034-b2ae-45f0-824b-1200cb1ecadc,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
602a2e9b-abad-48ac-90ec-857dd2fc194f,,132ae52b-0cc6-4877-93ca-becbc612ea64,
60b3f114-07e6-4c54-96bc-94823e08da25,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
60f9b62d-0cb0-47dd-9551-3929af847cb7,,223860e9-b7b5-412c-bcab-0f16d43928fb,
62731214-41d2-4db6-af05-e76305a0b8ef,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
6580c490-3a3c-4969-b91f-18d7edd82074,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
6766adfc-b2fa-4d38-9e7b-05886df6263f,,108ff93e-9191-42bf-b502-3a437407b22a,
67d74d0f-3b04-477a-aed7-ac090bfd745e,,2b55697f-f26e-433e-9070-f1fe9748bf7b,888609b5-b58a-4d57-addc-a6935bba284b
6812b181-49a2-4302-928c-cbdbc8781e88,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
