from_ba_id,from_gf_id,to_ba_id,to_gf_id
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,cbff6080-6387-44e5-b7ad-35f35f3db3a7,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,cf2deca6-53b8-4096-916f-32c2c71d14bf,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,e149db12-9398-4a10-8642-5db70d1a8505,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,eb67cf91-533d-465c-bace-c7c6d3901516,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
3859ab37-5fe8-43cd-a000-ecb8c459f34e,,4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,
38a26476-8f01-4b29-b5a8-ba82d3c829c7,,6b9fdd82-685f-4f21-8fa3-883e06be2c30,
38b92cbe-9b6b-485b-bf90-230bdf184170,,6d63693c-592d-4da5-88d8-7125832cbd76,
39aa8616-e9ed-4fda-809a-5f9befc6efc2,,2b55697f-f26e-433e-9070-f1fe9748bf7b,
3a5b653d-c1da-4e42-aafb-eb640fa961db,,108ff93e-9191-42bf-b502-3a437407b22a,
3aa2e125-3f74-4f91-94f6-fd030319f2b1,cf2deca6-53b8-4096-916f-32c2c71d14bf,3aa2e125-3f74-4f91-94f6-fd030319f2b1,
3b610f93-5835-4d84-92df-0f62c3a964de,,6a813c81-58a1-4fb4-ace8-b62e7c4183ae,
3dbc6410-9e27-44df-83e6-2f859c1dd362,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
3f6add3a-64b7-4ff5-9dee-5f50f9f33abe,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
409f9bbd-2431-4ac9-96cb-d7784217260d,,588f63cd-ffd2-4c38-8684-1208109165eb,
40e89f5d-72e9-43b5-a967-2cc6fa7626cf,,748cb267-f47c-4920-b5b0-39109ade448f,
41118fcb-283c-4b2e-aa03-f88eed6c6955,,e5e686e5-5f55-499c-ab8e-dc8aa79db5c4,
42e02821-c8bc-42e5-a793-f23e67136d0b,,108ff93e-9191-42bf-b502-3a437407b22a,
430912ef-7750-4e71-a976-6da41cfba4b3,,350e9eb4-5e6b-48f5-aeb8-0bfdf023bf1c,
43471c27-e415-4559-913f-6d3c3d50e199,,6b9fdd82-685f-4f21-8fa3-883e06be2c30,
436b15f7-c235-4124-8eef-4aa2e25f2c4d,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
43cf8a4f-6523-4dae-8fd5-c34fa4afc8cd,,09226989-50e7-4c40-bd36-5bcef32ee7a1,
4412ffc1-93ca-42f5-bb58-01c191272fc4,,4acaa53b-7ec9-4abd-bb4a-1d96b6224c0d,
